term,coef,std_err,t_stat,p_value,model
Policy Exposure (Lag 12),-0.002910800356422586,0.07754922242770762,-0.0375348748227111,0.9700718150731333,ModelA FE standard
VIX Exposure,-0.003988428965855456,0.01733381226094952,-0.23009531347243148,0.818101135515171,ModelA FE standard
Return Lag 1,-0.5008933846194461,0.03746206451385132,-13.370682879323015,0.0,ModelA FE standard
Return Momentum (3M),1.5031667324061253,0.06725659693074086,22.34972926081955,0.0,ModelA FE standard
Policy Exposure (Lag 12),-0.002910800356422586,0.006780569549799027,-0.42928552462217,0.6678793857840697,ModelA FE clustered
VIX Exposure,-0.003988428965855456,0.002450845164537699,-1.6273688046742807,0.1042172868196447,ModelA FE clustered
Return Lag 1,-0.5008933846194461,0.0005719234209932958,-875.8049875794782,0.0,ModelA FE clustered
Return Momentum (3M),1.5031667324061253,0.00449550829812708,334.37080586245946,0.0,ModelA FE clustered
Policy Exposure (Lag 12),-0.002910800356422586,0.07630758046011273,-0.03814562509872936,0.9695850720449506,ModelA FE robust
VIX Exposure,-0.003988428965855456,0.02346954664021455,-0.1699406054576858,0.8651177857072296,ModelA FE robust
Return Lag 1,-0.5008933846194461,0.04607099374678623,-10.872207084840381,0.0,ModelA FE robust
Return Momentum (3M),1.5031667324061253,0.07137614604728726,21.059791199853596,0.0,ModelA FE robust
